Completed_Notes,Final parental report sent (Yes/No),Enrolled,LangGroup,Contacted on:,Signed up on:,Recruitment through:,Baby/Subject ID (Get this from the lab InfantDatabase),Study ID
completed in June 2022; missing final LEQ,Yes,completed_study,Bilingual,2021-03-25,2021-03-25,Facebook,56771,BabysNewWords_S50
,No,inactivity_withdraw,Bilingual,2021-03-25,2021-03-25,Facebook,56777,BabysNewWords_S51
,No,inactivity_withdraw,Monolingual,2021-03-30,2021-03-30,Database (called),55011,BabysNewWords_S52
,No,inactivity_withdraw,Monolingual,2021-03-30,2021-03-30,Database (called),56321,BabysNewWords_S53
,No,inactivity_withdraw,Bilingual,2021-03-30,2021-03-30,Database (called),56264,BabysNewWords_S54
,No,asked_withdraw,Bilingual,2021-03-30,2021-03-30,Database (called),54992,BabysNewWords_S55
,No,inactivity_withdraw,Bilingual,2021-04-28,2021-04-28,Facebook,56783,BabysNewWords_S56
completed in July 2022,Yes,completed_study,Bilingual,2021-04-28,2021-04-28,Facebook,56784,BabysNewWords_S57
completed in July 2022; missing final LEQ,Yes,completed_excluded,Bilingual,2021-04-28,2021-04-28,Facebook,56786,BabysNewWords_S58
,No,inactivity_withdraw,Bilingual,2021-04-28,2021-04-28,Facebook,56787,BabysNewWords_S59
,No,inactivity_withdraw,Monolingual,2021-04-28,2021-04-28,Referred by a friend,56788,BabysNewWords_S60
,No,inactivity_withdraw,Monolingual,2021-04-28,2021-04-28,Referred by a friend,56789,BabysNewWords_S61
,No,inactivity_withdraw,Bilingual,2021-05-25,2021-05-25,Referred by a friend,56405,BabysNewWords_S62
completed in July 2022,Yes,completed_study,Bilingual,2021-05-25,2021-05-25,Facebook,56282,BabysNewWords_S63
completed in Aug2022,Yes,completed_study,Bilingual,2021-05-25,2021-05-25,Facebook,56844,BabysNewWords_S64
completed in May 2022,Yes,completed_study,Bilingual,2021-05-25,2021-05-25,Facebook,56846,BabysNewWords_S65
completed in June 2022,Yes,completed_study,Bilingual,2021-05-25,2021-05-25,Facebook,56847,BabysNewWords_S66
completed in May 2022,Yes,completed_study,Bilingual,2021-05-25,2021-05-25,Facebook,56851,BabysNewWords_S67
completed in June 2022; missing final LEQ,Yes,completed_excluded,Bilingual,2021-05-25,2021-05-25,Facebook,56850,BabysNewWords_S68
completed in August 2022,Yes,completed_study,Bilingual,2021-05-25,2021-05-25,Facebook,56858,BabysNewWords_S69
,No,asked_withdraw,Bilingual,2021-05-31,2021-05-31,Facebook,56843,BabysNewWords_S70
,No,inactivity_withdraw,Bilingual,2021-05-31,2020-05-31,Facebook,56856,BabysNewWords_S71
completed in Aug2022,Yes,completed_study,Bilingual,2021-05-31,2021-05-31,Database (called),56314,BabysNewWords_S72
completed in July 2022,Yes,completed_study,Monolingual,2021-05-31,2021-05-31,Database (called),56319,BabysNewWords_S73
completed in June 2022; missing final LEQ,Yes,completed_excluded,Trilingual,2021-05-31,2021-05-31,Facebook,56868,BabysNewWords_S74
completed in May2022 ,Yes,completed_study,Bilingual,2021-05-31,2021-05-31,Facebook,56869,BabysNewWords_S75
completed in April 2022 ,Yes,completed_study,Bilingual,2021-05-31,2021-05-31,Facebook,56871,BabysNewWords_S76
,No,inactivity_withdraw,Bilingual,2021-06-21,2021-06-21,Facebook,56891,BabysNewWords_S77
completed in September 2022,Yes,completed_study,Bilingual,2021-06-21,2021-06-21,Facebook,56894,BabysNewWords_S78
completed in September 2022,Yes,completed_study,Bilingual,2021-06-21,2021-06-21,Facebook,56893,BabysNewWords_S79
,No,asked_withdraw,Monolingual,2021-06-21,2021-06-21,Facebook,56896,BabysNewWords_S80
completed in September 2022,Yes,completed_study,Monolingual,2021-06-21,2021-06-21,Referred by a friend,56899,BabysNewWords_S81
completed in June 2022; missing final LEQ,Yes,completed_study,Monolingual,2021-06-25,2021-06-25,Facebook,56870,BabysNewWords_S82
completed in July 2022; missing final LEQ,Yes,completed_study,Monolingual,2021-06-25,2021-06-25,Facebook,56872,BabysNewWords_S83
,No,inactivity_withdraw,Bilingual,2021-06-29,2021-06-29,Facebook,56892,BabysNewWords_S84
,No,inactivity_withdraw,Bilingual,2021-06-30,2021-06-30,Facebook,56902,BabysNewWords_S85
completed in October2022,Yes,completed_study,Bilingual,2021-07-26,2021-07-26,Facebook,57314,BabysNewWords_S86
completed on October 2022,Yes,completed_study,Monolingual,2021-07-26,2021-07-26,Database (called),56409,BabysNewWords_S87
completed in September 2022,Yes,completed_study,Bilingual,2021-07-26,2021-07-26,Facebook,56877,BabysNewWords_S88
,No,inactivity_withdraw,Monolingual,2021-07-27,2021-07-27,Facebook,57315,BabysNewWords_S89
,No,asked_withdraw,Monolingual,2021-08-23,2021-08-23,Database (called),55788,BabysNewWords_S90
completed in September 2022,Yes,completed_study,Monolingual,2021-08-23,2021-08-23,Facebook,56895,BabysNewWords_S91
completed in August 2022,Yes,completed_study,Bilingual,2021-08-23,2021-08-23,Facebook,56848,BabysNewWords_S92
,No,inactivity_withdraw,Monolingual,2021-08-24,2021-08-24,Facebook,57446,BabysNewWords_S93
completed in July 2022,Yes,completed_study,Bilingual,2021-08-24,2021-08-24,Facebook,57449,BabysNewWords_S94
,No,inactivity_withdraw,Bilingual,2021-08-24,2021-08-24,Facebook,57443,BabysNewWords_S95
completed in November 2022; missing final LEQ - wait until end of Dec to send final report,Yes,completed_study,Monolingual,2021-08-26,2021-08-26,Facebook,57447,BabysNewWords_S96
completed in November 2022,Yes,completed_special_case,Bilingual,2021-08-26,2021-08-26,Facebook,57461,BabysNewWords_S97
completed in November 2022,Yes,completed_special_case,Bilingual,2021-08-26,2021-08-26,Facebook,57462,BabysNewWords_S98
,No,inactivity_withdraw,Monolingual,2021-08-26,2021-08-26,Facebook,57463,BabysNewWords_S99
completed in November 2022,Yes,completed_study,Monolingual,2021-08-27,2021-08-27,Facebook,57469,BabysNewWords_S100
completed in November 2022,Yes,completed_special_case,Monolingual,2021-08-28,2021-08-28,Facebook,57468,BabysNewWords_S101
completed in Aug2022,Yes,completed_study,Bilingual,2021-08-30,2021-08-30,Facebook,56342,BabysNewWords_S102
completed in December 2022,Yes,completed_study,Bilingual,2021-09-22,2021-09-22,Instagram,57452,BabysNewWords_S103
completed in December 2022,Yes,completed_study,Bilingual,2021-09-22,2021-09-22,Facebook,57439,BabysNewWords_S104
,No,inactivity_withdraw,Bilingual,2021-09-22,2021-09-22,Facebook,57465,BabysNewWords_S105
completed in December 2022,Yes,completed_study,Monolingual,2021-09-22,2021-09-22,Facebook,57495,BabysNewWords_S106
completed in November 2022,Yes,completed_study,Monolingual,2021-09-23,2021-09-23,Facebook,57497,BabysNewWords_S107
completed in November 2022,Yes,completed_study,Bilingual,2021-09-23,2021-09-23,Facebook,57500,BabysNewWords_S108
,No,inactivity_withdraw,Monolingual,2021-09-24,2021-09-24,Facebook,57329,BabysNewWords_S109
,No,asked_withdraw,Bilingual,2021-09-24,2021-09-24,Facebook,56389,BabysNewWords_S110
completed in September 2022,Yes,completed_study,Bilingual,2021-09-28,2021-09-28,Facebook,57498,BabysNewWords_S111
,No,inactivity_withdraw,Bilingual,2021-10-27,2021-10-27,External recruitment,56837,BabysNewWords_S112
completed in January 2023,Yes,completed_study,Monolingual,2021-10-27,2021-10-27,Facebook,57455,BabysNewWords_S113
,,asked_withdraw,Monolingual,2021-10-27,2021-10-27,Facebook,57445,BabysNewWords_S114
Completed in January 2023 - waiting on final LEQ,Yes,completed_study,Monolingual,2021-10-27,2021-10-27,Facebook,57517,BabysNewWords_S115
completed in December 2022,Yes,completed_study,Monolingual,2021-10-27,2021-10-27,Facebook,57519,BabysNewWords_S116
completed in January 2023,Yes,completed_study,Monolingual,2021-10-27,2021-10-27,Facebook,57514,BabysNewWords_S117
completed in January 2023,Yes,completed_study,Bilingual,2021-10-27,2021-10-27,Facebook,57440,BabysNewWords_S118
,,inactivity_withdraw,Bilingual,2021-10-29,2021-10-29,Facebook,57442,BabysNewWords_S119
Completed in January 2023  ,Yes,completed_study,Bilingual,2021-10-29,2021-10-29,Facebook,57483,BabysNewWords_S120
completed in November 2022,Yes,completed_study,Bilingual,2021-10-29,2021-10-29,Facebook,57451,BabysNewWords_S121
completed in January 2023,Yes,completed_study,Monolingual,2021-10-29,2021-10-29,Facebook,57515,BabysNewWords_S122
completed in November 2022,Yes,completed_study,Monolingual,2021-11-25,2021-11-25,Facebook,57393,BabysNewWords_S123
,No,inactivity_withdraw,Bilingual,2021-11-26,2021-11-26,Hospital,57441,BabysNewWords_S124
completed in March 2022,Yes,completed_study,Bilingual,2021-12-28,2021-12-28,Facebook,56800,BabysNewWords_S125
completed in February 2023,Yes,completed_study,Bilingual,2021-12-29,2021-12-29,Instagram,57617,BabysNewWords_S126
completed in March 2022,Yes,completed_special_case,Bilingual,2021-12-30,2021-12-30,Facebook,57438,BabysNewWords_S127
,No,inactivity_withdraw,Bilingual,2021-12-30,2021-12-30,Facebook,57558,BabysNewWords_S128
,No,inactivity_withdraw,Bilingual,2022-01-25,2022-01-25,Facebook,57556,BabysNewWords_S129
completed in April 2023,Yes,completed_study,Monolingual,2022-01-27,2021-01-27,Facebook,57531,BabysNewWords_S130
completed in April 2023,Yes,completed_study,Monolingual,2021-01-27,2021-01-27,Website/Alumni,57350,BabysNewWords_S131
completed in April 2023,Yes,completed_special_case,Bilingual,2022-02-24,2022-02-24,Facebook,57663,BabysNewWords_S132
completed in April 2023,Yes,completed_study,Bilingual,2022-02-24,2022-02-24,Facebook,57731,BabysNewWords_S133
completed in March 2022,Yes,completed_study,Bilingual,2022-02-25,2022-02-24,Facebook,57729,BabysNewWords_S134
,No,inactivity_withdraw,Bilingual,2022-02-25,2022-02-25,Facebook,57557,BabysNewWords_S135
completed in March 2022,Yes,completed_study,Bilingual,2022-02-28,2022-02-28,Facebook,57665,BabysNewWords_S136
,No,inactivity_withdraw,Bilingual,2022-02-28,2022-02-28,Facebook,57671,BabysNewWords_S137
,No,inactivity_withdraw,Bilingual,2022-03-28,2022-02-28,Facebook,57669,BabysNewWords_S138
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
